
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit https://github.com/coin-or/Ipopt
******************************************************************************

This is Ipopt version 3.14.5, running with linear solver ma27.

Number of nonzeros in equality constraint Jacobian...:     4500
Number of nonzeros in inequality constraint Jacobian.:     1600
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     2100
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     2100
                     variables with only upper bounds:        0
Total number of equality constraints.................:      900
Total number of inequality constraints...............:      800
        inequality constraints with only lower bounds:      800
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

 142r 1.8776489e+08 1.71e+00 9.43e+08   0.8 7.25e+01    -  8.69e-01 8.92e-03f  1
 143r 1.8723572e+08 2.23e+00 9.07e+12   0.8 4.00e+00    -  1.00e+00 8.35e-01f  1
 144r 1.8723699e+08 2.20e+00 1.01e+11   0.8 2.00e+02    -  1.00e+00 5.42e-03f  1
 145r 1.8727469e+08 1.82e+00 3.69e+07   0.8 3.49e+00    -  1.69e-01 1.33e-01H  1
 146r 1.8739364e+08 1.71e+00 1.97e+12   0.8 1.97e+00    -  1.00e+00 5.00e-01h  2
 147r 1.8757480e+08 1.71e+00 4.44e+02   0.8 1.71e+00    -  3.83e-01 1.00e+00h  1
 148r 1.8761220e+08 1.71e+00 3.41e+02   0.8 1.71e+00    -  4.58e-01 2.50e-01h  3
 149r 1.8762490e+08 1.71e+00 8.74e+07   0.8 1.71e+00    -  1.00e+00 6.25e-02h  5
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150r 1.8762780e+08 1.71e+00 5.40e+12   0.8 1.71e+00    -  1.24e-02 1.24e-02h  1
 151r 1.8763220e+08 1.71e+00 5.29e+12   0.8 1.71e+00    -  1.92e-01 1.99e-02h  1
 152r 1.8763396e+08 1.71e+00 1.79e+07   0.8 1.71e+00    -  1.00e+00 8.07e-03h  4
 153r 1.8763520e+08 1.71e+00 9.63e+02   0.8 3.87e+00    -  1.00e+00 3.91e-03h  9
 154r 1.8763551e+08 1.71e+00 1.10e+03   0.8 4.85e+00    -  8.14e-03 1.30e-03h  4
 155r 1.8763568e+08 1.71e+00 1.21e+08   0.8 5.61e+00    -  1.73e-02 6.32e-04h  8
 156r 1.8763579e+08 1.71e+00 1.04e+03   0.8 1.70e+00    -  5.17e-04 5.17e-04s 19
 157r 1.8763579e+08 1.71e+00 1.00e+03   0.8 4.89e+00    -  0.00e+00 0.00e+00R  1
 158r 1.8763606e+08 1.71e+00 9.01e+07   0.8 1.08e+01    -  1.00e+00 1.04e-03f  1
 159r 1.8768833e+08 1.71e+00 5.04e+07   0.8 1.51e+01    -  2.11e-01 8.67e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160r 1.8771191e+08 1.71e+00 5.00e+06   0.8 1.70e+00    -  1.34e-01 1.06e-01f  1
 161r 1.8771255e+08 1.71e+00 2.12e+08   0.8 1.06e+02    -  3.50e-02 9.22e-03f  1
 162r 1.8771686e+08 1.71e+00 1.45e+03   0.8 3.37e+01    -  1.15e-01 1.53e-02f  1
 163r 1.8775237e+08 1.71e+00 1.12e+03   0.8 1.70e+00    -  5.63e-02 1.54e-01f  1
 164r 1.8777681e+08 1.71e+00 4.71e+10   0.8 1.84e+00    -  7.05e-02 1.09e-01f  1
 165r 1.8777684e+08 1.71e+00 6.75e+03   0.8 1.10e+03    -  7.57e-03 1.52e-04f  1
 166r 1.8778021e+08 1.71e+00 3.79e+10   0.8 1.68e+00    -  3.20e-02 1.52e-02f  1
 167r 1.8778585e+08 1.71e+00 3.69e+09   0.8 2.56e+00    -  6.02e-02 2.58e-02f  1
 168r 1.8778598e+08 1.71e+00 1.09e+10   0.8 2.84e+01    -  6.68e-03 5.44e-04f  1
 169r 1.8786424e+08 1.71e+00 9.68e+07   0.8 1.68e+00    -  1.08e-01 3.50e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170r 1.8786477e+08 1.71e+00 2.14e+12   0.8 8.77e+00    -  1.06e-01 2.26e-03f  1
 171r 1.8787082e+08 1.71e+00 6.15e+09   0.8 2.73e+00    -  1.06e-01 2.59e-02f  1
 172r 1.8787898e+08 1.71e+00 2.21e+07   0.8 2.76e+00    -  7.07e-02 3.51e-02f  1
 173r 1.8789487e+08 1.71e+00 8.21e+09   0.8 1.62e+00    -  1.94e-02 7.35e-02f  1
